fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 4.236 | 4.236 | 4.236 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
         0  -6489.5782      38484.38       2.1787484      45089.282      1088.0848     -6246.6825     -5163.6351    
       100  -6505.6502      49047.053      1.7095377      157.85668      982.53379     -6286.3169     -6281.4845    
       200  -6464.2836      51661.624      1.6230187      297.07923      1071.0822     -6225.1835     -6215.6042    
       300  -6431.8487      53676.199      1.5621036      787.30561      1100.7195     -6186.1326     -6159.7562    
       400  -6422.5936      55868.428      1.500808       182.60267      1095.7554     -6177.9857     -6171.6183    
       500  -6423.8502      56342.812      1.4881718     -197.06749      1104.0013     -6177.4015     -6184.3316    
       600  -6420.6542      57293.039      1.4634899     -615.5295       1132.0177     -6167.9513     -6189.9624    
       700  -6408.5585      57325.586      1.462659       1066.8435      1107.1843     -6161.3992     -6123.2278    
       800  -6409.7692      57954.845      1.4467778     -41.631518      1064.2609     -6172.1918     -6173.6977    
       900  -6409.4041      58488.543      1.4335762     -501.42869      1092.7978     -6165.4564     -6183.7614    
      1000  -6411.7047      58404.313      1.4356437      155.22899      1084.6269     -6169.5809     -6163.9224    
      1100  -6400.1936      58842.816      1.4249451      449.92615      1112.1239     -6151.9317     -6135.4073    
      1200  -6411.3458      58782.487      1.4264076      394.39838      1099.4745     -6165.9076     -6151.4375    
      1300  -6402.3644      59026.061      1.4205214     -861.46426      1126.4997     -6150.8933     -6182.6307    
      1400  -6396.3205      59126.528      1.4181077      270.19837      1060.9487     -6159.4825     -6149.5112    
      1500  -6391.5721      60355.39       1.3892344     -433.59024      1123.6768     -6140.7312     -6157.0649    
      1600  -6395.3771      60023.181      1.3969234     -370.97747      1089.7721     -6152.1048     -6166.0029    
      1700  -6393.5248      59243.225      1.4153143      406.95431      1124.7317     -6142.4484     -6127.4006    
      1800  -6394.6386      60246.839      1.3917375     -422.2609       1108.7343     -6147.1333     -6163.0116    
      1900  -6396.9342      59481.833      1.4096368     -530.28533      1061.53       -6159.9665     -6179.6536    
      2000  -6389.2615      60030.659      1.3967493     -196.05407      1089.9563     -6145.9481     -6153.2939    
      2100  -6384.2439      60154.464      1.3938747      279.57701      1107.6287     -6136.9854     -6126.4886    
      2200  -6395.5591      60073.971      1.3957423     -302.83862      1094.9804     -6151.1241     -6162.4791    
      2300  -6399.6273      60512.664      1.3856237     -1243.2291      1083.3052     -6157.7986     -6204.7542    
      2400  -6392.8601      60207.149      1.392655      -136.72685      1116.9547     -6143.5198     -6148.6578    
      2500  -6391.7551      60603.045      1.3835573     -574.31567      1117.0466     -6142.3942     -6164.118     
      2600  -6390.7555      59914.383      1.39946       -67.387401      1113.8256     -6142.1137     -6144.6337    
      2700  -6403.489       59678.414      1.4049935      942.6553       1105.9613     -6156.6028     -6121.4904    
      2800  -6393.4803      59975.779      1.3980274      221.77155      1128.8129     -6141.4928     -6133.1911    
      2900  -6397.9251      59773.727      1.4027531     -204.55002      1085.1782     -6155.6783     -6163.3096    
      3000  -6381.1657      60115.644      1.3947748     -116.96915      1115.8858     -6132.0639     -6136.4528    
      3100  -6401.5565      58934.997      1.4227164      1095.8265      1111.8347     -6153.3591     -6113.0499    
      3200  -6396.4382      59032.434      1.4203681      389.13004      1106.2454     -6149.4885     -6135.151     
      3300  -6412.0516      59169.667      1.4170738     -1375.4406      1097.0809     -6167.1478     -6217.9439    
      3400  -6404.3397      58013.239      1.4453215      16.154826      1080.3453     -6163.1718     -6162.5869    
      3500  -6406.98        58064.756      1.4440392      914.6242       1104.4954     -6160.421      -6127.2739    
      3600  -6398.7066      58929.183      1.4228567     -102.38696      1105.4343     -6151.938      -6155.7039    
      3700  -6393.8688      59107.232      1.4185706     -212.6604       1104.3103     -6147.3511     -6155.1965    
      3800  -6414.2643      58523.759      1.4327136      748.84406      1112.3334     -6165.9556     -6138.602     
      3900  -6390.6441      59769.018      1.4028637      258.45131      1080.4186     -6149.4598     -6139.8183    
      4000  -6393.0746      60430.663      1.3875039     -587.14752      1087.816      -6150.239      -6172.3849    
      4100  -6406.5816      59408.63       1.4113738      260.44951      1080.8153     -6165.3088     -6155.6513    
      4200  -6401.1542      59360.144      1.4125266     -526.38676      1118.0546     -6151.5683     -6171.0708    
      4300  -6407.2345      58523.243      1.4327262      756.06076      1065.6779     -6169.3408     -6141.724     
      4400  -6400.023       59313.387      1.4136401     -828.07953      1110.2629     -6152.1765     -6182.8324    
      4500  -6392.6475      58949.257      1.4223722      963.20066      1151.9172     -6135.5024     -6100.0631    
      4600  -6401.7844      59131.874      1.4179795     -519.73916      1093.5493     -6157.6688     -6176.851     
      4700  -6404.9453      58882.732      1.4239792     -460.05347      1089.2796     -6161.7829     -6178.6907    
      4800  -6400.0727      58445.376      1.434635       923.25792      1115.7416     -6151.0032     -6117.3239    
      4900  -6394.4817      59614.068      1.40651       -676.00073      1068.4803     -6155.9624     -6181.1151    
      5000  -6391.8625      60143.937      1.3941186     -383.3137       1076.3528     -6151.5858     -6165.975     
      5100  -6400.2198      59869.073      1.4005192      632.8349       1125.1793     -6149.0434     -6125.3961    
      5200  -6403.4987      59716.134      1.404106      -974.29261      1073.2576     -6163.913      -6200.2267    
      5300  -6404.9199      59714.703      1.4041397     -714.64567      1114.715      -6156.0795     -6182.7151    
      5400  -6406.4343      59355.018      1.4126486     -84.482771      1086.5119     -6163.8898     -6167.0196    
      5500  -6402.2915      59004.998      1.4210285     -292.39223      1123.379      -6151.517      -6162.2853    
      5600  -6399.0452      58747.297      1.427262       625.45468      1119.0421     -6149.2389     -6126.3053    
      5700  -6413.2285      58609.111      1.4306271     -587.65053      1089.6663     -6169.9798     -6191.4766    
      5800  -6404.2151      59318.622      1.4135154     -378.72477      1087.2069     -6161.5155     -6175.5373    
      5900  -6401.2382      59005.551      1.4210152      761.78446      1135.3742     -6147.786      -6119.7307    
      6000  -6405.2954      59467.182      1.4099841     -622.52992      1090.8387     -6161.785      -6184.8912    
      6100  -6398.2774      59140.515      1.4177723      432.3797       1109.1788     -6150.6729     -6134.7126    
