fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 7 7 7
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair born/coul/dsf, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 4.223 | 4.223 | 4.223 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
         0  -6966.5032      38484.38       2.1787484      6490.8685      1100          -6720.9477     -6565.0367    
       100  -6816.0308      41918.101      2.0002763     -1202.4103      664.5136      -6667.6899     -6699.1488    
       200  -6747.8056      42973.652      1.951144       1018.1213      878.28248     -6551.7446     -6524.4365    
       300  -6671.6165      44739.249      1.8741438      589.78194      1058.1997     -6435.3922     -6418.9231    
       400  -6636.9764      45800.976      1.8306986      439.89443      1119.5103     -6387.0655     -6374.4904    
       500  -6653.5893      45704.992      1.8345432     -151.02867      1071.9714     -6414.2907     -6418.5991    
       600  -6659.3371      45667.442      1.8360517     -1092.5289      1092.4375     -6415.4698     -6446.6106    
       700  -6652.9082      45788.212      1.8312089     -174.30064      1136.4365     -6399.2189     -6404.2002    
       800  -6655.3588      45560.732      1.840352      -401.9164       1083.5016     -6413.4863     -6424.9155    
       900  -6667.1888      44995.713      1.8634616      884.91393      1075.8659     -6427.0208     -6402.1687    
      1000  -6643.2222      46004.75       1.8225897     -358.22086      1075.5562     -6403.1234     -6413.4093    
      1100  -6642.9241      45776.358      1.8316831      956.30691      1117.8622     -6393.3812     -6366.0582    
      1200  -6665.901       45533.738      1.841443      -307.15061      1072.7826     -6426.4214     -6435.1506    
      1300  -6656.6292      46042.419      1.8210986     -2282.0179      1119.6068     -6406.6969     -6472.2762    
      1400  -6649.9961      45869.384      1.8279684      71.943025      1103.0266     -6403.765      -6401.7053    
      1500  -6661.9404      45554.015      1.8406233     -458.78116      1128.0793     -6410.1167     -6423.1611    
      1600  -6662.2274      45051.729      1.8611446      894.06863      1092.0783     -6418.4403     -6393.2999    
      1700  -6652.6427      45519.336      1.8420256      406.87328      1112.1432     -6404.3765     -6392.8168    
      1800  -6657.3529      45742.72       1.8330301      297.84602      1092.9042     -6413.3814     -6404.8778    
      1900  -6655.1177      45731.764      1.8334693     -161.36418      1083.0307     -6413.3503     -6417.9562    
      2000  -6654.0786      45954.608      1.8245784     -867.33331      1101.2324     -6408.248      -6433.1254    
      2100  -6654.204       45675.233      1.8357385     -159.71998      1084.1164     -6412.1943     -6416.7476    
      2200  -6655.1024      45404.59       1.8466808      126.68245      1120.4674     -6404.9779     -6401.3878    
      2300  -6654.7959      45903.455      1.8266116     -1106.2788      1092.7381     -6410.8615     -6442.5571    
